Fuel_Type,Body_Type,transmission,ownerNo,Brand,model,modelYear,price,Insurance_Validity,Kms_Driven,Mileage,Engine,Seats,Color,City
Petrol,Sedan,Automatic,2,Toyota,Toyota Yaris,2018,875000.0,Third Party insurance,46429.0,17.8,1496,5,White,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,869000.0,Comprehensive,17624.0,21.4,1197,5,White,Bangalore
Diesel,Sedan,Manual,2,Volkswagen,Volkswagen Vento,2012,425000.0,Third Party insurance,100000.0,20.54,1598,5,Blue,Bangalore
Petrol,Sedan,Manual,1,Honda,Honda City,2019,1070000.0,Third Party insurance,30000.0,17.4,1497,5,Others,Bangalore
Petrol,SUV,Manual,2,Ford,Ford Ecosport,2018,1025000.0,Third Party insurance,49690.0,15.9,1496,5,Blue,Bangalore
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2016,1000000.0,Third Party insurance,110000.0,16.0,2179,7,White,Bangalore
Petrol,Sedan,Manual,1,Fiat,Fiat Linea,2009,375000.0,Third Party insurance,50000.0,16.0,1368,5,Gray,Bangalore
Petrol,SUV,Automatic,1,Ford,Ford Ecosport,2018,844000.0,Comprehensive,55702.0,14.8,1497,5,Silver,Bangalore
Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20 Active,2016,764000.0,Third Party insurance,45046.0,21.19,1396,5,Brown,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,420000.0,Third Party insurance,53000.0,18.5,1197,5,Silver,Bangalore
